Name,Price,Drive-type,Fuel-type,Transmission,Engine,Mileague
2023 BMW M8 Competition,149945,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,925
2023 BMW 540 i xDrive,67730,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,17
2023 BMW 540 i,68020,Rear-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,1102
2023 Land Rover Defender X-Dynamic SE,89730,Four-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,9
2022 Ford F-150 XL,44995,Rear-wheel Drive,Hybrid,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,
2023 BMW X3 xDrive30i,57470,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,0
2023 Ford Bronco Outer Banks Advanced,49475,Four-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,24
2023 Nissan Altima 2.5 SR,29340,Front-wheel Drive,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,
2023 BMW 540 i xDrive,68730,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,12
2022 Rolls-Royce Ghost Base,410000,All-wheel Drive,Gasoline,8-Speed Automatic,6.7L V12 48V GDI DOHC Twin Turbo,55
2023 Ford F-150 Lightning Platinum,98374,All-wheel Drive,Automatic,Electric,NoInfo,
2022 Lexus ES 300h Base,49280,Front-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,4
2022 Jeep Grand Cherokee 4xe Overland,69675,Four-wheel Drive,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,1
2023 Cadillac Escalade ESV Premium Luxury Platinum,,Four-wheel Drive,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,3
2022 Honda Pilot Special Edition,41850,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,10354
2023 Lexus LX 600 F SPORT,107020,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,
2023 Jeep Wrangler Sport S,41736,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,5
2023 Bentley Bentayga Azure,307230,All-wheel Drive,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,57
2023 Toyota Corolla XSE,33079,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC,5
2023 Bentley Continental GT Base,310680,All-wheel Drive,Gasoline,8-Speed,4.0L V8 32V GDI DOHC Twin Turbo,1
2023 Jaguar F-PACE R-Dynamic S,77285,All-wheel Drive,Gasoline,Automatic,NoInfo,9
2023 Hyundai Santa Fe SEL,30985,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V PDI DOHC,10
2023 Toyota Sequoia TRD Pro,80279,Four-wheel Drive,Hybrid,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,11
2023 Ford Mustang EcoBoost,35675,Rear-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,2
2022 Ford Bronco Badlands,69205,Four-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,12
2022 Dodge Challenger RT,49499,Rear-wheel Drive,Gasoline,6-Speed Manual,5.7L V8 16V MPFI OHV,5
2022 Jeep Wrangler Unlimited Sahara,49200,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,
2023 Jeep Wrangler Sahara,64015,Four-wheel Drive,Gasoline,8-Speed Automatic with Overdrive,3.6L V6 24V MPFI DOHC,0
