Name,Price,Drive-type,Fuel-type,Transmission,Engine,Mileague
2023 BMW 540 i xDrive,72320,All-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,9
2014 BMW i3 Base wRange Extender,11991,Rear-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2021 Volkswagen Jetta 1.4T R-Line,24592,Front-wheel Drive,Gasoline,8-Speed Automatic,1.4L I4 16V GDI DOHC Turbo,20580
2012 Volkswagen Passat 2.5 SE,9991,Front-wheel Drive,Gasoline,6-Speed Automatic,2.5L I5 20V MPFI DOHC,99111
2017 Mercedes-Benz E-Class E 300 4MATIC,27491,All-wheel Drive,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,49497
2021 Volkswagen ID.4 Pro,31991,Rear-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2019 Kia Sportage LX,18591,All-wheel Drive,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,37653
2017 Volkswagen e-Golf SEL Premium,19591,Front-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2022 Volkswagen Golf R 2.0T,52991,All-wheel Drive,Gasoline,8-Speed Automatic with Tiptronic,NoInfo,7831
2018 Volkswagen Atlas 3.6L SE,18591,Front-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,90528
2022 Volkswagen Golf GTI 2.0T Autobahn,36491,Front-wheel Drive,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,12408
2015 Volkswagen Tiguan Auto S,11491,Front-wheel Drive,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,99168
2020 Volkswagen Golf GTI 2.0T Autobahn,32491,Front-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,8574
2019 Volkswagen Golf GTI 2.0T S,25991,Front-wheel Drive,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,30336
2014 Ford C-Max Hybrid SE,13591,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,33450
2013 Volkswagen Passat 2.0 TDI SE,8491,Front-wheel Drive,Diesel,6-Speed Automatic with Auto-Shift,2.0L I4 16V DDI DOHC Turbo Diesel,112421
2015 Audi Q5 2.0T Premium Plus,17291,All-wheel Drive,E85 Flex Fuel,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,79313
2022 Lexus LS 500 F Sport,88660,All-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,604
2022 Lexus RX 350 F SPORT Appearance,59307,All-wheel Drive,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,9474
2023 Lexus LS 500 Base,104510,All-wheel Drive,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,
2023 Lexus LS 500 Base,104510,All-wheel Drive,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,
2022 Honda Civic Sport,25895,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,28043
2023 Acura TLX A-Spec,50595,All-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5
2019 Acura MDX 3.5L,31995,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,38261
2021 Ford Bronco Sport Badlands,34988,Four-wheel Drive,Gasoline,Automatic,EcoBoost 2L I-4 gasoline direct injection DOHC DEVCT variable,18648
