Name,Price,Drive-type,Fuel-type,Transmission,Engine,Mileague
2023 BMW M8 Competition,"$149,945 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo, 925 mi. 
2023 BMW 540 i xDrive,"$67,730 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo, 17 mi. 
2023 BMW 540 i,"$68,020 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo," 1,102 mi. "
2023 Land Rover Defender X-Dynamic SE,"$89,730 ", Four-wheel Drive ,Gasoline ,Automatic,3.0L I6 24V GDI DOHC Turbo, 9 mi. 
2022 Ford F-150 XL,"$44,995 ", Rear-wheel Drive ,Hybrid ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid, – 
2023 BMW X3 xDrive30i,"$57,470 ", AWD ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 0 mi. 
2023 Ford Bronco Outer Banks Advanced,"$49,475 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo, 24 mi. 
2023 Nissan Altima 2.5 SR,"$29,340 ", Front-wheel Drive ,Gasoline ,Automatic CVT,2.5L I4 16V GDI DOHC, – 
2023 BMW 540 i xDrive,"$68,730 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo, 12 mi. 
2022 Rolls-Royce Ghost Base,"$410,000 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,6.7L V12 48V GDI DOHC Twin Turbo, 55 mi. 
2023 Ford F-150 Lightning Platinum,"$98,374 ", All-wheel Drive ,Automatic,Electric, 1FT6W1EV1PWG00746 ,"

Adaptive Cruise ControlHeated SeatsKeyless StartNavigation SystemRemote Start

"
2022 Lexus ES 300h Base,"$49,280 ", FWD ,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid, 4 mi. 
2022 Jeep Grand Cherokee 4xe Overland,"$69,675 ", 4WD ,Hybrid ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid, 1 mi. 
2023 Cadillac Escalade ESV Premium Luxury Platinum,Not Priced, 4WD ,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV, 3 mi. 
2022 Honda Pilot Special Edition,"$41,850 ", Front-wheel Drive ,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC," 10,354 mi. "
2023 Lexus LX 600 F SPORT,"$107,020 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo, – 
2023 Jeep Wrangler Sport S,"$41,736 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, 5 mi. 
2023 Bentley Bentayga Azure,"$307,230 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo, 57 mi. 
2023 Toyota Corolla XSE,"$33,079 ", Front-wheel Drive ,Gasoline ,Automatic CVT,2.0L I4 16V PDI DOHC, 5 mi. 
2023 Bentley Continental GT Base,"$310,680 ", All-wheel Drive ,Gasoline ,8-Speed,4.0L V8 32V GDI DOHC Twin Turbo, 1 mi. 
2023 Jaguar F-PACE R-Dynamic S,"$77,285 ", All-wheel Drive ,Gasoline ,Automatic,V6, 9 mi. 
2023 Hyundai Santa Fe SEL,"$30,985 ", All-wheel Drive ,Gasoline ,Automatic,2.5L I4 16V PDI DOHC, 10 mi. 
2023 Toyota Sequoia TRD Pro,"$80,279 ", Four-wheel Drive ,Hybrid ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid, 11 mi. 
2023 Ford Mustang EcoBoost,"$35,675 ", Rear-wheel Drive ,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo, 2 mi. 
2022 Ford Bronco Badlands,"$69,205 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo, 12 mi. 
2022 Dodge Challenger R/T,"$49,499 ", Rear-wheel Drive ,Gasoline ,6-Speed Manual,5.7L V8 16V MPFI OHV, 5 mi. 
2022 Jeep Wrangler Unlimited Sahara,"$49,200 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, – 
2023 Jeep Wrangler Sahara,"$64,015 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic with Overdrive,3.6L V6 24V MPFI DOHC, 0 mi. 
2023 Ford Bronco Black Diamond,"$54,680 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo, – 
2023 BMW iX xDrive50,"$91,495 ", All-wheel Drive ,Automatic,Electric, WB523CF0XPCM92324 ,"

Heated SeatsKeyless StartNavigation SystemPower Liftgate

"
2023 Bentley Continental GT Base,"$333,250 ", All-wheel Drive ,Gasoline ,8-Speed,4.0L V8 32V GDI DOHC Twin Turbo, 23 mi. 
2023 Kia Niro EV Wind,"$41,118 ", Front-wheel Drive ,Automatic,Electric, KNDCR3L12P5028209 ,"

Apple CarPlay/Android Auto

"
2023 Toyota Sequoia Capstone,"$81,242 ", Four-wheel Drive ,Hybrid ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid, 11 mi. 
2023 Bentley Continental GT Speed,"$408,895 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,6.0L W12 48V PDI DOHC Twin Turbo, 60 mi. 
2023 Toyota Highlander L,"$45,657 ", All-wheel Drive ,Gasoline ,Automatic,2.4L I4 16V PDI DOHC Turbo, 5 mi. 
2024 GMC Sierra 2500 Denali,"$87,895 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,6.6L DURAMAX, 168 mi. 
2023 Chevrolet Suburban High Country,"$86,610 ", Four-wheel Drive ,Gasoline ,Automatic,6.2L V8 16V GDI OHV, 0 mi. 
2023 Lincoln Corsair Standard,"$39,635 ", FWD ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo, 17 mi. 
2023 GMC Yukon XL Denali Ultimate,"$111,980 ", Four-wheel Drive ,Gasoline ,Automatic,6.2L V8 16V GDI OHV, 3 mi. 
2023 Audi S5 3.0T Premium Plus,"$68,815 ", AWD ,Gasoline ,Automatic,3.0L V6 24V GDI DOHC Turbo, 10 mi. 
2023 Hyundai IONIQ 5 SEL,"$44,620 ", Rear-wheel Drive ,1-Speed Automatic,Electric, KM8KN4AE7PU167238 ,"

Heated SeatsHeated Steering WheelNavigation SystemPower Liftgate

"
2022 Ford Edge SE,"$38,695 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo, 5 mi. 
2023 Honda Passport Elite,"$48,360 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC, 5 mi. 
2023 Chevrolet Silverado 1500 LTZ,"$58,312 ", Four-wheel Drive ,Diesel ,10-Speed Automatic,3.0L I6 24V DDI DOHC Turbo Diesel, 299 mi. 
2022 Chevrolet Silverado 1500 LT,"$46,440 ", Rear-wheel Drive ,Gasoline ,10-Speed Automatic,5.3L V8 16V GDI OHV, 0 mi. 
2022 Jeep Gladiator Sport,"$42,257 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, – 
2023 Cadillac Escalade ESV Premium Luxury,"$99,845 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV, 4 mi. 
2023 Toyota Tundra Platinum,"$66,467 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,"I-FORCE 3.4L V-6 port/direct injection, DOHC, variable valve con", 10 mi. 
2022 Jeep Grand Cherokee 4xe Base,"$50,872 ", Four-wheel Drive ,Hybrid ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid," 2,989 mi. "
2023 Jeep Grand Cherokee 4xe Base,"$60,650 ", Four-wheel Drive ,Hybrid ,Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid, 0 mi. 
2023 Toyota Tacoma TRD Off Road,"$43,988 ", Four-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V PDI DOHC, 1 mi. 
2023 Ford Maverick Lariat,Not Priced, Front-wheel Drive ,Hybrid ,Automatic CVT,2.5L I4 16V MPFI DOHC Hybrid, 8 mi. 
2023 Lexus LX 600 Luxury,"$109,675 ", Four-wheel Drive ,Gasoline ,NOT SPECIFIED,3.5L V6 24V PDI DOHC Twin Turbo, – 
2022 RAM 3500 Longhorn,"$80,956 ", Rear-wheel Drive ,Diesel ,Automatic,6.7L I6 24V DDI OHV Turbo Diesel, 5 mi. 
