Name,Price,Drive-type,Fuel-type,Transmission,Engine,Mileague
2023 BMW 540 i xDrive,"$72,320 ", All-wheel Drive ,Gasoline ,Automatic,3.0L I6 24V GDI DOHC Turbo, 9 mi. 
2014 BMW i3 Base w/Range Extender,"$11,991 ", Rear-wheel Drive ,1-Speed Automatic,Electric, WBY1Z4C56EV273235 ,"

Keyless StartNavigation System

"
2021 Volkswagen Jetta 1.4T R-Line,"$24,592 ", Front-wheel Drive ,Gasoline ,8-Speed Automatic,1.4L I4 16V GDI DOHC Turbo," 20,580 mi. "
2012 Volkswagen Passat 2.5 SE,"$9,991 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,2.5L I5 20V MPFI DOHC," 99,111 mi. "
2017 Mercedes-Benz E-Class E 300 4MATIC,"$27,491 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 49,497 mi. "
2021 Volkswagen ID.4 Pro,"$31,991 ", Rear-wheel Drive ,1-Speed Automatic,Electric, WVGRMPE23MP052584 ,"

Adaptive Cruise ControlHeated SeatsHeated Steering WheelKeyless StartNavigation System

"
2019 Kia Sportage LX,"$18,591 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,2.4L I4 16V GDI DOHC," 37,653 mi. "
2017 Volkswagen e-Golf SEL Premium,"$19,591 ", Front-wheel Drive ,1-Speed Automatic,Electric, WVWPR7AU6HW954436 ,"

Heated SeatsKeyless StartNavigation System

"
2022 Volkswagen Golf R 2.0T,"$52,991 ", All-wheel Drive ,Gasoline ,8-Speed Automatic with Tiptronic,2.0L," 7,831 mi. "
2018 Volkswagen Atlas 3.6L SE,"$18,591 ", Front-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC," 90,528 mi. "
2022 Volkswagen Golf GTI 2.0T Autobahn,"$36,491 ", Front-wheel Drive ,Gasoline ,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo," 12,408 mi. "
2015 Volkswagen Tiguan Auto S,"$11,491 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 99,168 mi. "
2020 Volkswagen Golf GTI 2.0T Autobahn,"$32,491 ", Front-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo," 8,574 mi. "
2019 Volkswagen Golf GTI 2.0T S,"$25,991 ", Front-wheel Drive ,Gasoline ,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo," 30,336 mi. "
2014 Ford C-Max Hybrid SE,"$13,591 ", Front-wheel Drive ,Hybrid ,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid," 33,450 mi. "
2013 Volkswagen Passat 2.0 TDI SE,"$8,491 ", Front-wheel Drive ,Diesel ,6-Speed Automatic with Auto-Shift,2.0L I4 16V DDI DOHC Turbo Diesel," 112,421 mi. "
2015 Audi Q5 2.0T Premium Plus,"$17,291 ", All-wheel Drive ,E85 Flex Fuel ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Flexible Fuel," 79,313 mi. "
2022 Lexus LS 500 F Sport,"$88,660 ", All-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 604 mi. 
2022 Lexus RX 350 F SPORT Appearance,"$59,307 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC," 9,474 mi. "
2023 Lexus LS 500 Base,"$104,510 ", AWD ,Gasoline ,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo, – 
2023 Lexus LS 500 Base,"$104,510 ", AWD ,Gasoline ,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo, – 
2022 Honda Civic Sport,"$25,895 ", Front-wheel Drive ,Gasoline ,Automatic CVT,2.0L I4 16V GDI DOHC," 28,043 mi. "
